MAC Address: 70:1C:E7:38:FC:E2
Measurements taken on Wednesday March 27 2019 at 14:28:48
Distances measured in inches and RSSI measured in dB.

Distance, RSSI
20, -47
20, -45
20, -47
20, -48
20, -48
20, -48
20, -49
20, -47
20, -48
20, -48
20, -47
20, -46
20, -46
20, -46
20, -45
20, -47
20, -46
20, -45
20, -46
20, -46
20, -49
20, -52
20, -50
20, -51
20, -52
30, -52
30, -54
30, -54
30, -55
30, -53
30, -54
30, -54
30, -54
30, -55
30, -56
30, -48
30, -58
30, -57
30, -58
30, -56
30, 0
30, -54
30, -57
30, -55
30, -56
30, -63
30, -56
30, -55
30, -56
30, -57
40, -56
40, -58
40, -56
40, -56
40, -58
40, -58
40, -55
40, -54
40, -55
40, -55
40, -58
40, -55
40, -55
40, -55
40, -58
40, -54
40, -54
40, -55
40, -62
40, -58
40, -61
40, -56
40, -54
40, -57
40, -58
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, -57
50, -58
50, -58
50, -55
50, -54
50, -57
50, -55
50, -57
50, -58
50, -58
50, -58
50, -57
50, -56
50, -55
50, -58
50, -59
50, -54
50, -57
50, -58
50, -58
50, -58
50, -58
50, -59
50, -55
50, -59
60, -54
60, -58
60, -58
60, -56
60, -58
60, -62
60, -73
60, -58
60, -56
60, -57
60, -58
60, -58
60, -57
60, -56
60, -56
60, -57
60, -54
60, -58
60, -56
60, -54
60, -56
60, -56
60, 0
60, -58
60, -61
70, -57
70, -57
70, -58
70, -69
70, -61
70, -70
70, -61
70, -58
70, -70
70, -59
70, -58
70, -69
70, -61
70, -66
70, -58
70, -58
70, -54
70, -58
70, -71
70, -65
70, -75
70, -70
70, -57
70, -84
70, -61
80, -55
80, -57
80, -56
80, -58
80, -64
80, -57
80, -73
80, -64
80, -57
80, -54
80, -54
80, -58
80, -54
80, -61
80, -61
80, -66
80, -56
80, -62
80, -56
80, -57
80, -58
80, -54
80, -57
80, -54
80, -57
90, -58
90, -54
90, -58
90, -65
90, -55
90, -61
90, -56
90, -63
90, -59
90, -57
90, -56
90, -61
90, -58
90, -56
90, -56
90, -56
90, -54
90, -57
90, -54
90, -59
90, -86
90, -63
90, -75
90, -54
90, -62
100, -84
100, -62
100, -56
100, -54
100, -64
100, -54
100, -54
100, -54
100, -54
100, -57
100, -64
100, -54
100, -59
100, -55
100, -56
100, -54
100, -72
100, -65
100, -63
100, -56
100, -57
100, -77
100, -57
100, -58
100, -54
